          ordinal hint RVA      name
        427  1AA 00091570 vlc_UrlParse
        428  1AB 000915C0 vlc_UrlParseFixup
        429  1AC 000ADC60 vlc_accept
        430  1AD 0009C420 vlc_accept_i11e
        431  1AE 00037720 vlc_access_NewMRL
        432  1AF 000931E0 vlc_actions_get_id
        433  1B0 00093420 vlc_actions_get_key_names
        434  1B1 00093240 vlc_actions_get_keycodes
        435  1B2 0008E5D0 vlc_b64_decode
        436  1B3 0008E4B0 vlc_b64_decode_binary
        437  1B4 0008E3B0 vlc_b64_decode_binary_to_buffer
        438  1B5 0008E370 vlc_b64_encode
        439  1B6 0008E140 vlc_b64_encode_binary
        440  1B7 000AF4E0 vlc_cancel
        441  1B8 000AF1D0 vlc_clone
        442  1B9 000AD280 vlc_close
        443  1BA 0009E190 vlc_cond_broadcast
        444  1BB 0009E170 vlc_cond_destroy
        445  1BC 0009E150 vlc_cond_init
        446  1BD 0009E180 vlc_cond_signal
        447  1BE 0009E280 vlc_cond_timedwait
        448  1BF 0009E1A0 vlc_cond_wait
        449  1C0 000AF630 vlc_control_cancel
        450  1C1 0009CE70 vlc_credential_clean
        451  1C2 0009CF50 vlc_credential_get
        452  1C3 0009CE40 vlc_credential_init
        453  1C4 0009D520 vlc_credential_store
        454  1C5 00040BC0 vlc_demux_chained_ControlVa
        455  1C6 00040C70 vlc_demux_chained_Delete
        456  1C7 00040AE0 vlc_demux_chained_New
        457  1C8 00040BB0 vlc_demux_chained_Send
        458  1C9 0001E700 vlc_dialog_display_error
        459  1CA 0001E5A0 vlc_dialog_display_error_va
        460  1CB 0001F200 vlc_dialog_display_progress
        461  1CC 0001F060 vlc_dialog_display_progress_va
        462  1CD 0001FBD0 vlc_dialog_id_dismiss
        463  1CE 0001F940 vlc_dialog_id_get_context
        464  1CF 0001FAE0 vlc_dialog_id_post_action
        465  1D0 0001F970 vlc_dialog_id_post_login
        466  1D1 0001F910 vlc_dialog_id_set_context
        467  1D2 0001F8E0 vlc_dialog_is_cancelled
        468  1D3 0001E4A0 vlc_dialog_provider_set_callbacks
        469  1D4 0001FC70 vlc_dialog_provider_set_ext_callback
        470  1D5 0001F660 vlc_dialog_release
        471  1D6 0001F3B0 vlc_dialog_update_progress
        472  1D7 0001F550 vlc_dialog_update_progress_text
        473  1D8 0001F440 vlc_dialog_update_progress_text_va
        474  1D9 0001EA70 vlc_dialog_wait_login
        475  1DA 0001E870 vlc_dialog_wait_login_va
        476  1DB 0001EE70 vlc_dialog_wait_question
        477  1DC 0001EC80 vlc_dialog_wait_question_va
        478  1DD 00094F70 vlc_drand48
        479  1DE 000ADB70 vlc_dup
        480  1DF 0009ECB0 vlc_epg_AddEvent
        481  1E0 0009EEE0 vlc_epg_Delete
        482  1E1 0009F0E0 vlc_epg_Duplicate
        483  1E2 0009EE90 vlc_epg_New
        484  1E3 0009EFA0 vlc_epg_SetCurrent
        485  1E4 0009E8D0 vlc_epg_event_Delete
        486  1E5 0009E990 vlc_epg_event_Duplicate
        487  1E6 0009E940 vlc_epg_event_New
        488  1E7 000A6EA0 vlc_error
        489  1E8 0009F520 vlc_event_attach
        490  1E9 0009F610 vlc_event_detach
        491  1EA 0001FCB0 vlc_ext_dialog_update
        492  1EB 00095D80 vlc_fifo_DequeueAllUnlocked
        493  1EC 00095D40 vlc_fifo_DequeueUnlocked
        494  1ED 00095CE0 vlc_fifo_GetBytes
        495  1EE 00095CD0 vlc_fifo_GetCount
        496  1EF 00095C70 vlc_fifo_Lock
        497  1F0 00095CF0 vlc_fifo_QueueUnlocked
        498  1F1 00095C90 vlc_fifo_Signal
        499  1F2 00095C80 vlc_fifo_Unlock
        500  1F3 00095CA0 vlc_fifo_Wait
        501  1F4 00095CB0 vlc_fifo_WaitCond
        502  1F5 0008F190 vlc_filenamecmp
        503  1F6 00091E60 vlc_fopen
        504  1F7 00096DA0 vlc_fourcc_AreUVPlanesSwapped
        505  1F8 00096E20 vlc_fourcc_GetChromaDescription
        506  1F9 000960B0 vlc_fourcc_GetCodec
        507  1FA 00096710 vlc_fourcc_GetCodecAudio
        508  1FB 000963C0 vlc_fourcc_GetCodecFromString
        509  1FC 000968B0 vlc_fourcc_GetDescription
        510  1FD 00096D60 vlc_fourcc_GetRGBFallback
        511  1FE 00096D20 vlc_fourcc_GetYUVFallback
        512  1FF 00096DF0 vlc_fourcc_IsYUV
        513  200 000ADDE0 vlc_getProxyUrl
        514  201 000810E0 vlc_getaddrinfo
        515  202 00081220 vlc_getaddrinfo_i11e
        516  203 000AD360 vlc_getcwd
        517  204 00081040 vlc_getnameinfo
        518  205 0001DF90 vlc_gettext
        519  206 0007F3C0 vlc_gl_Create
        520  207 0007F460 vlc_gl_Hold
        521  208 0007F470 vlc_gl_Release
        522  209 0007F610 vlc_gl_surface_CheckSize
        523  20A 0007F4B0 vlc_gl_surface_Create
        524  20B 0007F6A0 vlc_gl_surface_Destroy
        525  20C 0009E120 vlc_global_mutex
        526  20D 000ABD20 vlc_html_color
        527  20E 00083970 vlc_http_HostNew
        528  20F 00082C20 vlc_http_auth_Deinit
        529  210 00082760 vlc_http_auth_FormatAuthorizationHeader
        530  211 00082BF0 vlc_http_auth_Init
        531  212 000820A0 vlc_http_auth_ParseAuthenticationInfoHeader
        532  213 000819B0 vlc_http_auth_ParseWwwAuthenticateHeader
        533  214 000AA5F0 vlc_http_cookies_destroy
        534  215 000AAED0 vlc_http_cookies_fetch
        535  216 000AA5B0 vlc_http_cookies_new
        536  217 000AA690 vlc_http_cookies_store
        537  218 000839A0 vlc_https_HostNew
        538  219 00017F60 vlc_iconv
        539  21A 00018200 vlc_iconv_close
        540  21B 00017ED0 vlc_iconv_open
        541  21C 0009BBD0 vlc_interrupt_create
        542  21D 0009BC20 vlc_interrupt_destroy
        543  21E 0009BF90 vlc_interrupt_forward_start
        544  21F 0009C030 vlc_interrupt_forward_stop
        545  220 0009BAA0 vlc_interrupt_kill
        546  221 0009BA00 vlc_interrupt_raise
        547  222 0009BC70 vlc_interrupt_register
        548  223 0009BC40 vlc_interrupt_set
        549  224 0009BCE0 vlc_interrupt_unregister
        550  225 000AF2B0 vlc_join
        551  226 00092A10 vlc_keycode2str
        552  227 0009CB60 vlc_keystore_create
        553  228 0009CCF0 vlc_keystore_find
        554  229 0009CBC0 vlc_keystore_release
        555  22A 0009CD10 vlc_keystore_release_entries
        556  22B 0009CD00 vlc_keystore_remove
        557  22C 0009CBE0 vlc_keystore_store
        558  22D 0009BD30 vlc_killed
        559  22E 000A36A0 vlc_list_children
        560  22F 000A3770 vlc_list_release
        561  230 00091F80 vlc_loaddir
        562  231 00094FD0 vlc_lrand48
        563  232 000AD800 vlc_lstat
        564  233 000AD260 vlc_memfd
        565  234 0008DA60 vlc_memstream_close
        566  235 0008DA50 vlc_memstream_flush
        567  236 0008D9F0 vlc_memstream_open
        568  237 0008DC80 vlc_memstream_printf
        569  238 0008DB00 vlc_memstream_putc
        570  239 0008DB70 vlc_memstream_puts
        571  23A 0008DBF0 vlc_memstream_vprintf
        572  23B 0008DA80 vlc_memstream_write
        573  23C 00057BB0 vlc_meta_AddExtra
        574  23D 00058180 vlc_meta_CopyExtraNames
        575  23E 00057A70 vlc_meta_Delete
        576  23F 00057BA0 vlc_meta_Get
        577  240 00058080 vlc_meta_GetExtra
        578  241 00058130 vlc_meta_GetExtraCount
        579  242 000582A0 vlc_meta_GetStatus
        580  243 000582C0 vlc_meta_Merge
        581  244 00057A20 vlc_meta_New
        582  245 00057B70 vlc_meta_Set
        583  246 000582B0 vlc_meta_SetStatus
        584  247 00057A00 vlc_meta_TypeToLocalizedString
        585  248 000A1F60 vlc_mime_Ext2Mime
        586  249 000AD290 vlc_mkdir
        587  24A 00092210 vlc_mkstemp
        588  24B 00018530 vlc_module_load
        589  24C 00018CC0 vlc_module_unload
